timestamp,open,high,low,close,volume
2023-11-07,15.01,15.41,14.8286,15.3587,56222
2023-11-06,15.54,15.6795,14.78,15.12,32837
2023-11-03,15.29,15.6991,15.045,15.1532,225559
2023-11-02,14.65,15.07,14.47,15.06,66856
2023-11-01,13.7401,13.98,13.35,13.9585,31084
2023-10-31,13.14,13.68,13.0,13.55,32702
2023-10-30,14.24,14.374,13.149,13.26,33749
2023-10-27,14.4,14.5,14.09,14.115,27012
2023-10-26,14.48,14.72,13.93,14.0,128456
2023-10-25,14.8005,15.12,14.5773,14.5773,98129
2023-10-24,14.99,15.4,14.88,14.9309,37167
2023-10-23,14.34,14.9301,13.78,14.56,38075
2023-10-20,15.0,15.14,14.43,14.56,80088
2023-10-19,15.92,16.1627,15.005,15.27,105035
2023-10-18,18.3402,18.3402,17.25,17.28,60513
2023-10-17,17.92,18.5209,17.73,18.3652,7625
2023-10-16,18.03,18.42,17.888,18.31,32148
2023-10-13,18.78,18.78,17.9701,18.07,50391
2023-10-12,19.3,19.31,18.5601,18.79,12622
2023-10-11,19.49,19.5899,19.03,19.13,34118
2023-10-10,19.1065,19.63,19.0687,19.19,45995
2023-10-09,18.46,18.9,18.2,18.87,17705
2023-10-06,18.31,19.0,18.075,18.93,36059
2023-10-05,18.83,19.1811,18.6,18.88,31286
2023-10-04,18.15,19.05,18.1198,19.01,39236
2023-10-03,17.87,17.98,17.561,17.7051,19730
2023-10-02,17.65,18.39,17.3803,18.1582,50991
2023-09-29,18.09,18.33,17.74,18.06,57629
2023-09-28,17.18,17.7801,17.0494,17.71,72931
2023-09-27,17.56,17.5906,16.69,17.19,94950
2023-09-26,17.39,17.99,17.36,17.53,70752
2023-09-25,17.46,17.79,17.03,17.79,53739
2023-09-22,18.68,18.68,17.56,17.59,101892
2023-09-21,18.82,19.03,18.455,18.6,73049
2023-09-20,19.61,20.22,19.22,19.23,92613
2023-09-19,19.38,19.64,19.1005,19.6,32613
2023-09-18,20.07,20.07,19.35,19.48,130208
2023-09-15,20.6,20.6938,20.0692,20.34,58825
2023-09-14,20.08,20.52,20.05,20.47,31584
2023-09-13,20.04,20.3197,19.9142,20.07,63001
2023-09-12,19.97,20.71,19.6601,19.71,80075
2023-09-11,19.43,20.385,19.17,20.3,73503
2023-09-08,18.24,18.72,17.9085,17.99,42166
2023-09-07,17.68,18.38,17.6084,18.3,56124
2023-09-06,18.5808,18.5927,17.7699,18.35,41071
2023-09-05,17.71,18.8827,17.7,18.78,75257
2023-09-01,18.83,18.99,17.51,17.7,115050
2023-08-31,18.72,19.2194,18.7,18.9346,85958
2023-08-30,18.6,19.13,18.27,18.83,86845
2023-08-29,17.21,18.865,17.16,18.86,143356
2023-08-28,17.54,17.6,16.94,17.21,51640
2023-08-25,16.61,17.215,16.5,17.21,79671
2023-08-24,17.21,17.23,16.29,16.4686,60981
2023-08-23,16.37,17.19,16.37,17.08,88268
2023-08-22,17.39,17.39,16.42,16.76,80903
2023-08-21,15.7,16.57,15.7,16.57,100444
2023-08-18,15.03,15.32,14.92,15.19,67522
2023-08-17,16.19,16.19,15.49,15.49,120093
2023-08-16,16.29,16.82,16.11,16.11,44844
2023-08-15,17.31,17.31,16.76,16.77,21219
2023-08-14,16.99,17.428,16.84,17.36,47217
2023-08-11,17.54,17.6605,17.251,17.64,23663
2023-08-10,17.85,18.4499,17.69,17.9,54166
2023-08-09,18.36,18.39,17.6,17.62,32408
2023-08-08,18.08,18.36,17.89,18.31,40817
2023-08-07,18.58,18.65,17.67,18.49,82682
2023-08-04,19.4,19.67,18.65,18.68,42734
2023-08-03,18.63,19.269,18.63,19.22,73694
2023-08-02,18.89,19.21,18.43,18.76,119045
